Einkauflsliste
Anz Name                          Lieferant                               Gebindegr�sse    Einzelpreis  Summe  
 23 Kirschen                      Carrefar S.A.                             1000.0 g            4.67       107.41
 17 Pilzravioli Convenience       Carrefar S.A.                             1000.0 g            8.82       149.94
 12 Hollandaise                   Carrefar S.A.                             1000.0 g            2.59        31.08
 12 Barbecuesauce                 Carrefar S.A.                             1000.0 g            4.75        57.0
 12 Muscheln                      Carrefar S.A.                             1000.0 g           10.27       123.24
  6 Spanische Wurst               Carrefar S.A.                             1000.0 g            7.21        43.26
  8 Rundkornreis                  Carrefar S.A.                             1000.0 g            3.16        25.28
 17 Johannisbeeren                Carrefar S.A.                             1000.0 g            5.37        91.29
 23 Pommes Macaires TK            Carrefar S.A.                             1000.0 g            2.18        50.14
 45 Rinderroulade                 Carrefar S.A.                               10.0              9.55       429.75
 34 Rotkohl                       Carrefar S.A.                             1000.0 g            2.97       100.98
 17 Rindersalami                  Metzgerfachhandel Schneider               1000.0 g            5.73        97.41
 42 Speck                         Metzgerfachhandel Schneider               1000.0 g            4.47       187.74
 57 Straussenfilet                Metzgerfachhandel Schneider               1000.0 g           97.3       5546.1
 72 Hackfleisch halb und halb     Metzgerfachhandel Schneider               1000.0 g            3.33       239.76
 57 Gyrosfleisch Vorgewuerzt      Metzgerfachhandel Schneider               1000.0 g            7.15       407.55
 47 Elchfleisch                   Metzgerfachhandel Schneider               1000.0 g            9.6        451.2
 19 Salami                        Metzgerfachhandel Schneider               1000.0 g            3.35        63.65
 23 Truthahnfilet                 Metzgerfachhandel Schneider               1000.0 g            5.86       134.78
 45 Currywurst                    Metzgerfachhandel Schneider               1000.0 g            3.63       163.35
 36 Rinderhack                    Metzgerfachhandel Schneider               1000.0 g            7.96       286.56
  6 Schmalz                       Metzgerfachhandel Schneider               1000.0 g            1.45         8.7
 23 Cordon Bleu TK                Metzgerfachhandel Schneider                 10.0              7.18       165.14
  4 Leberwurst                    Metzgerfachhandel Schneider               1000.0 g            4.21        16.84
 12 Rinderhuefte                  Metzgerfachhandel Schneider               1000.0 g            6.7         80.4
 17 Rindfleisch                   Metzgerfachhandel Schneider               1000.0 g            4.74        80.58
103 Mehl                          Biohof Maier – direkt an der A40        1000.0 g            1.07       110.21
 51 Kopfsalat                     Biohof Maier – direkt an der A40        1000.0 g            1.71        87.21
118 Karotten                      Biohof Maier – direkt an der A40        1000.0 g            2.45       289.1
  3 Ingwer                        Biohof Maier – direkt an der A40        1000.0 g            5.38        16.14
 12 Dinkelschrot                  Biohof Maier – direkt an der A40        1000.0 g            1.98        23.76
  5 Thymian                       Biohof Maier – direkt an der A40        1000.0 g            8.0         40.0
  1 Piment                        Biohof Maier – direkt an der A40        1000.0 g            4.97         4.97
  1 Estragon                      Biohof Maier – direkt an der A40        1000.0 g            7.23         7.23
 12 Magerquark                    Biohof Maier – direkt an der A40        1000.0 g            2.77        33.24
244 Haehnchenbrustfilet           Naturschlachterei Hackebeil               1000.0 g            4.99      1217.56
  4 Fleischbruehe                 Naturschlachterei Hackebeil               1000.0 g            3.21        12.84
